club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,base_club_name,location_new,latitude_new,longitude_new,location_old,latitude_old,longitude_old
SV Werder Bremen,Jens Lellek,27.0,defence,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1995,1995/1996,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Bernd Goldschmidt,25.0,defence,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1995,1995/1996,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Christian Brand,24.0,Attacking Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Thomas Penshorn,18.0,Centre-Back,W. Bremen U19,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Hendrik Völzke,21.0,Defensive Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
FC St. Pauli,Kai Dittmer,21.0,attack,Harburger TB,free transfer,in,Summer,0.0,1 Bundesliga,1996,1996/1997,Germany,Harburger T,,,,,,
FC St. Pauli,Markus Ahlf,18.0,Right-Back,St. Pauli U19,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,St. Pauli,,,,,,
FC Hansa Rostock,Daniel Klewer,19.0,Goalkeeper,H. Rostock U19,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,H. Rostock,,,,,,
Bayern Munich,Stefan Leitl,18.0,Attacking Midfield,FC Bayern U19,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Borussia Dortmund,Christian Timm,17.0,Right Winger,B. Dortmund U19,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,B. Dortmund,Dortmund,51.5142273,7.4652789,,,
Arminia Bielefeld,Frederik Gößling,18.0,Goalkeeper,Bielefeld U19,-,in,Summer,,1 Bundesliga,1996,1996/1997,Germany,Bielefeld,,,,,,
SV Werder Bremen,Björn Schierenbeck,22.0,Centre-Back,W. Bremen Res.,-,in,Winter,,1 Bundesliga,1996,1996/1997,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Dr. Uwe Harttgen,32.0,Attacking Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Jens Lellek,29.0,defence,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Matthias Plump,18.0,Left Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
MSV Duisburg,Marius Ebbers,19.0,Centre-Forward,Duisburg U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,Duisburg,,,,,,
Karlsruher SC,Jens Bäumer,18.0,Central Midfield,Karlsruhe U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,Karlsruhe,,,,,,
Bayern Munich,Alexander Bugera,18.0,Left-Back,FC Bayern U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Bayern Munich,David Jarolim,18.0,midfield,FC Bayern U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Borussia Mönchengladbach,Andriy Voronin,17.0,Second Striker,M'gladbach U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,M'gladbach,Mönchengladbach,51.1947131,6.4353792,,,
Bayer 04 Leverkusen,Thorsten Nehrbauer,19.0,Defensive Midfield,Leverkusen U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
Bayer 04 Leverkusen,Andreas Voss,18.0,Defensive Midfield,Leverkusen U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
Arminia Bielefeld,Christian Alder,18.0,Centre-Back,Bielefeld U19,-,in,Summer,,1 Bundesliga,1997,1997/1998,Germany,Bielefeld,,,,,,
MSV Duisburg,Peter Schyrba,17.0,Centre-Back,Duisburg U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,Duisburg,,,,,,
Hamburger SV,Mahmut Yilmaz,18.0,Centre-Forward,Hamburg U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,Hamburg,,,,,,
Bayern Munich,Berkant Göktan,17.0,Centre-Forward,FC Bayern U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Eintracht Frankfurt,Stefan Zinnow,18.0,Right Midfield,W. Mannheim U19,?,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Mannheim,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Michael Eckhardt,19.0,Goalkeeper,Frankfurt U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Alexander Lorenz,19.0,Left Midfield,Frankfurt U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Borussia Mönchengladbach,Sebastian Deisler,18.0,Right Midfield,M'gladbach U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,M'gladbach,Mönchengladbach,51.1947131,6.4353792,,,
1.FC Nuremberg,Ersen Martin,19.0,Centre-Forward,Nürnberg U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,Nürnberg,,,,,,
SV Werder Bremen,Alexander Nouri,18.0,Attacking Midfield,W. Bremen U19,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Christoph Dabrowski,20.0,Defensive Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Dr. Uwe Harttgen,33.0,Attacking Midfield,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Jens Lellek,30.0,defence,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Thomas Penshorn,20.0,Centre-Back,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Thomas Wolter,34.0,Right Midfield,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Danny Fütterer,23.0,Defensive Midfield,W. Bremen Res.,-,in,Winter,,1 Bundesliga,1998,1998/1999,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
MSV Duisburg,Rainer Torres,19.0,Defensive Midfield,Duisburg U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,Duisburg,,,,,,
Bayer 04 Leverkusen,Markus Daun,18.0,Centre-Forward,Leverkusen U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
FC Schalke 04,Tamás Hajnal,18.0,Attacking Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Krisztián Szóllar,18.0,Defensive Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Toni Tapalovic,18.0,Goalkeeper,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Sergio da Silva Pinto,18.0,Central Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
SV Werder Bremen,Razundara Tjikuzu,19.0,Defensive Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Alexander Nouri,19.0,Attacking Midfield,W. Bremen Res.,-,out,Summer,,1 Bundesliga,1999,1999/2000,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
Eintracht Frankfurt,Albert Streit,19.0,Right Winger,Frankfurt U19,-,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Arminia Bielefeld,Lukas Kwasniok,18.0,Defensive Midfield,Karlsruhe U19,?,in,Summer,,1 Bundesliga,1999,1999/2000,Germany,Karlsruhe,,,,,,
